id,canonical_name,city,county,address,active_lat,active_lng,lat_google,lng_google,distance_km,bucket,geo_source,google_place_name,google_formatted_address,google_match_type
672,NK Mladost (P),,Splitsko-dalmatinska županija,"TRG DR.FRANJE TUĐMANA 5, Donji Proložac",43.5177436,16.4623215,43.126592200000005,17.187691,73.04,far,nominatim,NOGOMETNI KLUB MLADOST,"21469, Sućuraj",places_textsearch
225,NK Posavec,,Zagrebačka županija,"Orle 5, 10411 Orle",46.3724694,16.3825301,45.760567699999996,16.1385938,70.595,far,nominatim,NK Posavec,"Trnje 1, 10410, Trnje",places_textsearch
492,NK Sloga Trenkovo,Velika,Požeško-slavonska županija,"34330 Velika, RH",45.4435462,17.6650333,45.115628199999996,18.4226171,69.592,far,nominatim,Nk sloga,"35224, Jaruge",places_textsearch
595,NK Polet (S),,Osječko-baranjska županija,"ŠKOLSKA 25, Semeljci",45.298096,18.7941164,45.5913125,18.025937499999998,68.223,far,nominatim,Nk Polet Bokšić,"H2RG+G9, 31511, Bokšić",places_textsearch
602,ŠNK Polet (K),,Osječko-baranjska županija,"Nikole Tesle 17, Karanac",45.298096,18.7941164,45.5913125,18.025937499999998,68.223,far,nominatim,Nk Polet Bokšić,"H2RG+G9, 31511, Bokšić",places_textsearch
356,NK Drava (SP),Ptuj,,"Čučkova ulica 7, 2250 Ptuj",46.3164146,16.7313964,46.4170486,15.875011,66.655,far,nominatim,FC Drava Ptuj,"Čučkova ulica 7, 2250 Ptuj, Slovenija",places_textsearch
257,NK Mladost (B),,Brodsko-posavska županija,"Bicko Selo BB, Bicko Selo",45.284731,17.3804903,45.0972641,18.18282,66.239,far,nominatim,NK MLADOST DONJA BEBRINA,"Donja Bebrina 63, 35208, Donja Bebrina",places_textsearch
399,NK Mladost (DB),,Brodsko-posavska županija,"Bicko Selo BB, Bicko Selo",45.284731,17.3804903,45.0972641,18.18282,66.239,far,nominatim,NK MLADOST DONJA BEBRINA,"Donja Bebrina 63, 35208, Donja Bebrina",places_textsearch
525,NK Mladost (JM),,Brodsko-posavska županija,"Bicko Selo BB, Bicko Selo",45.284731,17.3804903,45.0972641,18.18282,66.239,far,nominatim,NK MLADOST DONJA BEBRINA,"Donja Bebrina 63, 35208, Donja Bebrina",places_textsearch
535,NK Šokadija (SR),,Brodsko-posavska županija,"Šumeće 13, Šumeće",45.5883247,18.0320121,45.1105728,18.5382099,66.233,far,nominatim,NK Šokadija,"Sajmište ul. 18, 32276, Babina Greda",places_textsearch
543,NK Šokadija (Š),,Brodsko-posavska županija,"Šumeće 13, Šumeće",45.5883247,18.0320121,45.1105728,18.5382099,66.233,far,nominatim,NK Šokadija,"Sajmište ul. 18, 32276, Babina Greda",places_textsearch
603,NK Šokadija (D),Babina Greda,Osječko-baranjska županija,"Trg hrvatske mladeži 1, Duboševica",45.5883247,18.0320121,45.1105728,18.5382099,66.233,far,nominatim,NK Šokadija,"Sajmište ul. 18, 32276, Babina Greda",places_textsearch
681,NK Šokadija (BG),Babina Greda,,"Sajmište 18, Babina Greda",45.5883247,18.0320121,45.1105728,18.5382099,66.233,far,nominatim,NK Šokadija,"Sajmište ul. 18, 32276, Babina Greda",places_textsearch
529,NK MV Croatia 1976,,Brodsko-posavska županija,"Stadionska bb, 35000 Slavonski Brod",45.2594168,17.2008515,45.1498038,17.9843238,62.58,far,nominatim,NK MV Croatia 1976,"Stadionska ul. 10, 35000, Slavonski Brod",places_textsearch
668,NK Frankopan (RA),,,"Galdovačka 4c, SISAK",45.8942294,16.8313763,45.4762519,16.387735499999998,57.86,far,nominatim,ŠNK Frankopan,"Galdovačka ul. 4, 44000, Sisak",places_textsearch
327,ŠNK Gora,Ludbreg,Varaždinska županija,"Ludbreška 141, Globočec, 42230 Ludbreg",46.2784528,15.9121081,46.2346177,16.6507284,56.996,far,nominatim,NK Gora Globočec,"Ludbreška ul. 112, 42230, Globočec Ludbreški",places_textsearch
153,NK Dinamo (O),Sisak,Sisačko-moslavačka županija,"Antuna Cuvaja 16/II kat, 44000 Sisak",45.5713115,16.6270566,45.818516599999995,16.016972100000004,54.779,far,nominatim,GNK Dinamo,"Maksimirska Cesta 128, 10000, Zagreb",places_textsearch
213,NK Croatia (P),,,"Stankovci 11, Stankovci",45.3658443,15.6575209,45.7879642,16.0014337,54.033,far,nominatim,NK Croatia 98,"Avenija Marina Držića 102, 10000, Zagreb",places_textsearch
221,NK Croatia (NK),,,"Stankovci 11, Stankovci",45.3658443,15.6575209,45.7879642,16.0014337,54.033,far,nominatim,NK Croatia 98,"Avenija Marina Držića 102, 10000, Zagreb",places_textsearch
146,NK Sloga (J),,Brodsko-posavska županija,"Ulica Stružani 47, Stružani",45.54993,18.6782096,45.115628199999996,18.4226171,52.262,far,nominatim,Nk sloga,"35224, Jaruge",places_textsearch
513,NK Sloga (V),,Brodsko-posavska županija,"Ulica Stružani 47, Stružani",45.54993,18.6782096,45.115628199999996,18.4226171,52.262,far,nominatim,Nk sloga,"35224, Jaruge",places_textsearch
540,NK Gaj (Z),,Brodsko-posavska županija,"Zbjeg 0, Zbjeg",45.1931654,18.0161918,45.5442379,18.4578305,52.098,far,nominatim,NK Gaj,"31223, Brođanci",places_textsearch
422,NK Sokol (S),,Bjelovarsko-bilogorska županija,"Braće Radića 12A, Sokolovac",45.5953497,17.2225016,45.6094443,16.5810835,49.924,far,nominatim,NK Sokol,"15A, 44316, Velika Ludina",places_textsearch
425,HNK Jovača (MS),,Bjelovarsko-bilogorska županija,"Marino Selo b. b., 34551 Marino Selo",45.9366157,16.9557331,45.4905414,16.9546284,49.601,far,nominatim,HNK Jovača Marino Selo,"34543, Marino Selo",places_textsearch
534,NK Dilj (K),,Brodsko-posavska županija,"Kralja Tomislava 47, Klokočevik",45.2416141,18.1536639,45.283271000000006,18.7797888,49.222,far,nominatim,NK Dilj-nogometno igralište,"Diljeva ul. 24, 32100, Vinkovci",places_textsearch
214,"NK ""FARKAŠ""",Velika Gorica,Zagrebačka županija,"Marina Getaldića 3, 10410 Velika Gorica",45.7111627,16.0583506,45.883578799999995,16.6367628,48.768,far,nominatim,NK Farkaš,"Farkaševac 35A, 10344, Farkaševac",places_textsearch
326,ŠNK Sloga,,Varaždinska županija,"Slokovec 53a 42230 Ludbreg, 42230 Slokovec",46.2902912,16.7088886,46.0559787,16.1763288,48.584,far,nominatim,NK Sloga,"Sportska ul., 49282, Konjščina",places_textsearch
404,NK Mlinar,Dežanovac,Bjelovarsko-bilogorska županija,"Gornji Sređani b. b., 43506 Dežanovac, Gornji Sređani",45.8965163,16.8413608,45.5272783,17.1577098,47.844,far,nominatim,NK Mlinar,"Gornji Sređani 72A, 43506, Gornji Sređani",places_textsearch
772,NK Jadran Smokvica,Smokvica,Dubrovačko-neretvanska županija,"Smokvica 80, 20272 Smokvica",42.9303211,16.8792255,43.047157899999995,17.440613799999998,47.474,far,nominatim,NK Jadran LP,"Dalmatinska ul., 20340, Ploče",places_textsearch
701,NK Hajduk (T),,Vukovarsko-srijemska županija,"Kolodvorska 1, Tovarnik",45.3358902,18.6864966,45.1971296,19.2573759,47.266,far,nominatim,NK Hajduk Bapska,"Ul. kralja Tomislava, 32235, Bapska",places_textsearch
387,NK Ribar (K),Kopačevo,Osječko-baranjska županija,"Podunavska 34, 31327 Kopačevo",45.3234294,18.3792171,45.6040561,18.7848525,44.435,far,nominatim,NK Ribar,"31327, Kopačevo",places_textsearch
618,NK Željezničar (MN),,Osječko-baranjska županija,"Željeznička 2, Markovac Našički",45.5548627,18.6816406,45.4974474,18.12352,43.944,far,nominatim,NK Željezničar Markovac Našički,"31500, Markovac Našički",places_textsearch
431,NK Radnički (VV),Bjelovar,Bjelovarsko-bilogorska županija,"Poljana Dr. Franje Tuđmana 5, 43 000 Bjelovar",45.5202593,16.8845703,45.9069334,16.8541371,43.061,far,nominatim,NK Bjelovar,"Poljana dr. Franje Tuđmana 5, 43000, Bjelovar",places_textsearch
300,NK Frankopan (B),Karlovac,Karlovačka županija,"Brežani 9/b, 47000 Karlovac",45.2675976,15.2244322,45.46306680000001,15.695692399999999,42.754,far,nominatim,NK Frankopan Brežani,"47212, Brežani",places_textsearch
421,HNK Hajduk (LB),,Bjelovarsko-bilogorska županija,,45.7994716,17.0646813,45.429738,17.1936598,42.319,far,nominatim,NK Hajduk,"Ulica kralja Tomislava bb, 34550, Pakrac",places_textsearch
868,NK Jedinstvo (DM),Pustakovec,,"Pustakovec 68, 48314 Pustakovec",46.2304858,16.7955538,46.4265244,16.3275979,42.026,far,nominatim,NK Jedinstvo,"Gornji Mihaljevec 5A, 40306, Gornji Mihaljevec",places_textsearch
710,NK Jadran (G),,Vukovarsko-srijemska županija,"7300-7398 Colonial Rd, Brooklyn, NY 11209, USA",45.2338528,18.7405769,45.5398158,18.4257782,41.974,far,nominatim,NK Jadran Habjanovci,"31223, Habjanovci",places_textsearch
749,NK Veli Vrh,,Istarska županija,"Veli Vrh 1, 52100 Pula",45.2107125,13.6181389,44.8898582,13.8510122,40.094,far,nominatim,NK Veli Vrh,"52100, Pula",places_textsearch
697,NK Rusin,,Vukovarsko-srijemska županija,"Trg Žrtava Domovinskog rata 1 Mikluševci 32238 Čakovci, Mikluševci",45.2512468,19.0846544,45.3272712,18.589097,39.678,far,nominatim,NK Naprijed,"Vrbička 6, 32284, Mrzović",places_textsearch
396,NK Polet (N),,Bjelovarsko-bilogorska županija,"Gornji Uljanik 2A, Gornji Uljanik",45.8278629,16.7514286,45.5301617,17.0308843,39.587,far,nominatim,NK Polet Uljanik,"2A, 43280, Gornji Uljanik",places_textsearch
428,NK Polet (U),,Bjelovarsko-bilogorska županija,"Gornji Uljanik 2A, Gornji Uljanik",45.8278629,16.7514286,45.5301617,17.0308843,39.587,far,nominatim,NK Polet Uljanik,"2A, 43280, Gornji Uljanik",places_textsearch
655,NK Hrvatski Sokol (B),,Osječko-baranjska županija,"M.GUPCA 2A, Bocanjevci",45.7344702,18.2541647,45.5580588,18.680284,38.497,far,nominatim,HRVATSKI SOKOL OSJEČKO-BARANJSKE ŽUPANIJE OSIJEK,"Ul. Hrvatske Republike 11, 31000, Osijek",places_textsearch
448,NK Risnjak,,Primorsko-goranska županija,"Šetalište Golubinjak 6, 51316 Lokve",45.364876,14.2661606,45.3563851,14.7507815,37.875,far,nominatim,Nogometno igralište NK Risnjak,"51316, Lokve",places_textsearch
426,NK Mladost - Nada,,Bjelovarsko-bilogorska županija,"Hrastovac b. b., 43280 Garešnica, Hrastovac",45.8782987,16.8715764,45.5513374,16.990396,37.509,far,nominatim,NK Mladost-Nada Hrastovac,"Trg Ante Starčevića 4, 43280, Hrastovac",places_textsearch
588,NK HOŠK,,Osječko-baranjska županija,"Kralja Tomislava b. b. Gašinci 31421 Đakovačka Satnica, Gašinci",45.3350343,18.311631,45.566533,18.6569862,37.261,far,nominatim,NK Osijek,"Ul. Josipa Jurja Strossmayera 126b, 31000, Osijek",places_textsearch
345,NK Lipa,,Koprivničko-križevačka županija,"Bana Josipa Jelačića 47b, 48323 Hlebine",46.0352862,16.5411178,46.1545897,16.9612196,35.005,far,nominatim,"NK Lipa Hlebine, Nogometno igralište","Ul. bana Josipa Jelačića 47B, 48323, Hlebine",places_textsearch
346,NK Mladost (SĐ),,Osječko-baranjska županija,"Kardinala Alojzija Stepinca 14, Čeminac",45.5515869,18.6999882,45.3543466,18.3682099,33.923,far,nominatim,NK Mladost Satnica Đakovačka,"Ul. kralja Tomislava 54, 31421, Satnica Đakovačka",places_textsearch
641,NK Mladost (T),,Osječko-baranjska županija,"Kardinala Alojzija Stepinca 14, Čeminac",45.5515869,18.6999882,45.3543466,18.3682099,33.923,far,nominatim,NK Mladost Satnica Đakovačka,"Ul. kralja Tomislava 54, 31421, Satnica Đakovačka",places_textsearch
654,NK Mladost (H),,Osječko-baranjska županija,"Kardinala Alojzija Stepinca 14, Čeminac",45.5515869,18.6999882,45.3543466,18.3682099,33.923,far,nominatim,NK Mladost Satnica Đakovačka,"Ul. kralja Tomislava 54, 31421, Satnica Đakovačka",places_textsearch
646,NK Podravac (PM),,Osječko-baranjska županija,,45.6939801,18.3939436,45.78572330000001,17.9806951,33.653,far,nominatim,NK Podravac,"31530, Podravska Moslavina",places_textsearch
596,NK Zrinski (D),Punitovci,Osječko-baranjska županija,"Stjepana Radića 58, 31424 Punitovci",45.5427557,18.046028,45.439542,18.443342599999998,33.029,far,nominatim,NK Zrinski,"CCQV+R8, 31424, Jurjevac Punitovački",places_textsearch
632,NK Vitez '92,,Osječko-baranjska županija,"K. Zvonimira 19a 31216, Antunovac",45.7716738,18.6053533,45.487190999999996,18.670554199999998,32.037,far,nominatim,NK Vitez '92,"Ul. Hrvatske Republike 21A, 31216, Antunovac",places_textsearch
582,NK Slavonac (T),,Osječko-baranjska županija,"Ulica Svete Ane 1, Tenja",45.6634147,18.4109122,45.5322968,18.0869776,29.116,far,nominatim,NK Slavonac,"Ul. Matije Gupca, 31511, Pribiševci",places_textsearch
643,NK Slavonac (L),,Osječko-baranjska županija,"Ulica Svete Ane 1, Tenja",45.6634147,18.4109122,45.5322968,18.0869776,29.116,far,nominatim,NK Slavonac,"Ul. Matije Gupca, 31511, Pribiševci",places_textsearch
197,NK Zrinski,,Zagrebačka županija,"Farkaševec Samoborski 130, Farkaševec Samoborski",45.7516896,16.1096319,45.8170132,15.746783800000001,29.059,far,nominatim,NK Zrinski Farkaševec,"Farkaševec ul. 130, 10430, Samobor",places_textsearch
175,NK Mladost (G),Jasenovac,Sisačko-moslavačka županija,"Košutarica b. b., 44324 Jasenovac Košutarica",45.4933092,16.7318038,45.2693582,16.9101963,28.535,far,nominatim,Slastičarna Mladost,"44324, D47 21, 44324, Jasenovac",places_textsearch
180,NK Mladost (K),Jasenovac,Sisačko-moslavačka županija,"Košutarica b. b., 44324 Jasenovac Košutarica",45.4933092,16.7318038,45.2693582,16.9101963,28.535,far,nominatim,Slastičarna Mladost,"44324, D47 21, 44324, Jasenovac",places_textsearch
